Lead,Reference ID,SCP-Code
Unspecified lead,MDC_ECG_LEAD_CONFIG,0
I,MDC_ECG_LEAD_I,1
II,MDC_ECG_LEAD_II,2
V1,MDC_ECG_LEAD_V1,3
V2,MDC_ECG_LEAD_V2,4
V3,MDC_ECG_LEAD_V3,5
V4,MDC_ECG_LEAD_V4,6
V5,MDC_ECG_LEAD_V5,7
V6,MDC_ECG_LEAD_V6,8
V7,MDC_ECG_LEAD_V7,9
V2R,MDC_ECG_LEAD_V2R,10
V3R,MDC_ECG_LEAD_V3R,11
V4R,MDC_ECG_LEAD_V4R,12
V5R,MDC_ECG_LEAD_V5R,13
V6R,MDC_ECG_LEAD_V6R,14
V7R,MDC_ECG_LEAD_V7R,15
X,MDC_ECG_LEAD_VX,16
Y,MDC_ECG_LEAD_VY,17
Z,MDC_ECG_LEAD_VZ,18
CC5,MDC_ECG_LEAD_CC5,19
CM5,MDC_ECG_LEAD_CM5,20
Left Arm,MDC_ECG_LEAD_LA,21
Right Arm,MDC_ECG_LEAD_RA,22
Left Leg,MDC_ECG_LEAD_LL,23
I,MDC_ECG_LEAD_fI,24
E,MDC_ECG_LEAD_fE,25
C,MDC_ECG_LEAD_fC,26
A,MDC_ECG_LEAD_fA,27
M,MDC_ECG_LEAD_fM,28
F,MDC_ECG_LEAD_fF,29
H,MDC_ECG_LEAD_fH,30
III,MDC_ECG_LEAD_III,61
aVR,MDC_ECG_LEAD_AVR,62
aVL,MDC_ECG_LEAD_AVL,63
aVF,MDC_ECG_LEAD_AVF,64
-aVR,MDC_ECG_LEAD_AVRneg,65